date,home_team,proof
11/29/2017,LAL,https://x.com/KdTrey_23/status/936099817733976065
5/27/2023,MIA,https://www.gettyimages.com/detail/news-photo/diddy-sits-court-side-during-round-3-game-6-of-the-eastern-news-photo/1258232718?adppopup=true
1/2/2020,MIA,https://www.alamy.com/miami-united-states-of-america-02nd-jan-2020-miami-florida-january-02-dj-khaled-sean-diddy-combs-and-future-attend-the-game-between-the-miami-heat-and-the-toronto-raptors-at-american-airlines-arena-on-january-02-2020-in-miami-florida-people-future-credit-storms-media-groupalamy-live-news-image338202503.html?imageid=9D5CC18D-F6A0-4391-86CF-DE81357E1893&p=558565&pn=1&searchId=6a69037fba36fc9101b6fd7b17290429&searchtype=0
6/12/2017,GSW,https://x.com/KatieUtehs/status/874412675182149632
3/12/2017,BRK,https://x.com/BrooklynNets/status/841066877048754176
6/15/2008,LAL,https://www.gettyimages.com/detail/news-photo/actor-david-spade-and-musicians-anthony-kiedis-and-sean-news-photo/81582376?adppopup=true
6/7/2009,LAL,http://www.wireimage.com/search/#events?q=Diddy%2520NBA/%5B88282386%5D&ep=1/60/1&s=3
5/4/2009,LAL,https://www.gettyimages.com/detail/news-photo/sean-combs-jay-z-and-kobe-bryant-greet-each-other-at-the-news-photo/86378190?adppopup=true
4/27/2009,LAL,https://www.gettyimages.com/detail/news-photo/former-tennis-player-john-mcenroe-and-hip-hop-producer-sean-news-photo/86255481?adppopup=true
5/29/2008,LAL,http://www.wireimage.com/celebrity-pictures/Cameron-Diaz-and-Sean-P-Diddy-Combs-hug-at-the-Los-Angeles-Lakers-vs/81288936?r=81288936&st=Search
2/4/2009,NYK,https://www.gettyimages.com/detail/news-photo/chris-rock-talks-with-sean-diddy-combs-during-the-game-news-photo/84652441?adppopup=true
1/7/2011,LAL,http://www.wireimage.com/search/#events?q=Diddy%20Lakers/[107887454]&ep=1/60/1&s=3
4/23/2013,NYK,https://www.gettyimages.com/detail/news-photo/diddy-attends-round-one-game-four-of-the-2023-nba-playoffs-news-photo/1252154534?adppopup=true
10/29/2013,LAL,https://www.gettyimages.com/detail/news-photo/recording-artist-sean-p-diddy-combs-attends-a-game-between-news-photo/186311252?adppopup=true
5/1/2011,MIA,https://www.gettyimages.com/detail/news-photo/music-mogul-p-diddy-sits-court-side-at-game-one-of-the-news-photo/113307922?adppopup=true
6/11/1999,NYK,https://www.gettyimages.com/detail/news-photo/row-of-celebrities-cheering-for-the-new-york-knicks-against-news-photo/97263612?adppopup=true
5/7/2003,NJN,https://www.gettyimages.com/detail/news-photo/artist-sean-p-diddy-combs-and-actor-ashton-kutcher-sit-news-photo/1995547?adppopup=true
4/24/2023,LAL,https://www.gettyimages.com/detail/news-photo/jimmy-lovine-and-sean-diddy-combs-attend-a-basketball-game-news-photo/1485027288?adppopup=true
11/29/2017,LAL,https://www.gettyimages.com/detail/news-photo/record-producer-jimmy-iovine-and-sean-diddy-combs-attend-a-news-photo/882588192?adppopup=true
11/21/2007,HOU,https://www.gettyimages.com/detail/news-photo/hip-hop-mogul-sean-combs-watches-the-game-between-the-news-photo/78060137?adppopup=true
4/2/2006,MIA,https://www.gettyimages.com/detail/news-photo/jay-z-and-sean-diddy-combs-attend-the-game-between-the-new-news-photo/57236474?adppopup=true
3/17/2005,MIA,https://www.gettyimages.com/detail/news-photo/sean-p-diddy-combs-watches-the-miami-heat-play-against-the-news-photo/52442569?adppopup=true
4/25/2012,NYK,https://www.gettyimages.com/detail/news-photo/entertainer-sean-p-diddy-combs-looks-on-during-the-game-news-photo/143404427?adppopup=true
1/31/2004,HOU,https://www.gettyimages.com/detail/news-photo/sean-p-diddy-combs-sits-courtside-at-the-game-between-the-news-photo/2918183?adppopup=true
2/20/2011,LAL,https://www.gettyimages.com/detail/news-photo/actor-comedian-nick-cannon-and-sean-diddy-combs-sit-in-the-news-photo/109317058?adppopup=true
12/6/2012,MIA,https://www.gettyimages.com/detail/news-photo/sean-p-diddy-combs-greets-kim-kardashian-and-kanye-west-news-photo/157837364?adppopup=true
6/18/2021,LAC,https://www.gettyimages.com/detail/news-photo/rapper-and-entrepreneur-sean-combs-attends-the-game-between-news-photo/1233775026?adppopup=true
5/10/1998,NYK,https://www.gettyimages.com/detail/news-photo/may-10-1998-new-york-city-david-duchovny-tea-leoni-kevin-news-photo/51043998?adppopup=true
3/25/2005,MIA,https://www.gettyimages.com/detail/news-photo/hip-hop-artists-sean-p-diddy-combs-and-pharrell-williams-of-news-photo/52480570?adppopup=true
1/5/2005,MIA,https://www.gettyimages.com/detail/news-photo/sean-p-diddy-combs-comments-during-the-game-between-the-news-photo/51918891?adppopup=true
12/27/2011,MIA,https://www.gettyimages.com/detail/news-photo/sean-p-diddy-combs-watches-a-game-between-the-miami-heat-news-photo/136158131?adppopup=true
1/31/2011,MIA,https://www.gettyimages.com/detail/news-photo/sean-p-diddy-combs-watches-a-game-between-the-miami-heat-news-photo/108867594?adppopup=true
6/15/2010,HEAT,https://www.gettyimages.com/detail/news-photo/producer-sean-diddy-combs-looks-up-in-game-six-of-the-2010-news-photo/102127429?adppopup=true
