,player,team,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,date
0,Brandon Ingram,LAL,44:01,12,21,.571,2,2,1.000,6,7,.857,0,5,5,3,3,2,7,5,32,20.7,-8,2017-11-29
1,Lonzo Ball,LAL,43:20,5,12,.417,3,7,.429,2,2,1.000,1,1,2,10,1,0,2,2,15,14.8,-8,2017-11-29
2,Kentavious Caldwell-Pope,LAL,41:32,7,18,.389,2,8,.250,5,6,.833,2,5,7,0,1,0,2,3,21,11.5,+1,2017-11-29
3,Larry Nance Jr.,LAL,22:27,0,2,.000,0,0,,0,0,,0,4,4,5,4,1,0,0,0,8.0,-11,2017-11-29
4,Brook Lopez,LAL,16:52,2,5,.400,0,2,.000,2,3,.667,0,1,1,1,1,1,2,1,6,3.2,-15,2017-11-29
5,Jordan Clarkson,LAL,35:31,9,19,.474,2,4,.500,1,1,1.000,3,3,6,8,0,0,1,3,21,17.7,+8,2017-11-29
6,Julius Randle,LAL,31:10,9,13,.692,0,0,,2,4,.500,1,3,4,2,0,1,1,4,20,14.8,+11,2017-11-29
7,Josh Hart,LAL,12:43,2,3,.667,0,0,,2,2,1.000,0,3,3,0,0,0,1,2,6,3.8,-4,2017-11-29
8,Corey Brewer,LAL,12:04,0,1,.000,0,1,.000,0,0,,0,0,0,0,2,0,1,3,0,-0.9,+4,2017-11-29
9,Andrew Bogut,LAL,5:21,1,1,1.000,0,0,,0,0,,0,2,2,1,0,0,0,0,2,3.0,+2,2017-11-29
10,Kevin Durant,GSW,42:19,12,25,.480,3,7,.429,2,4,.500,0,7,7,5,1,1,6,4,29,15.2,+8,2017-11-29
11,Stephen Curry,GSW,39:24,9,20,.450,3,9,.333,7,8,.875,0,5,5,7,0,0,5,4,28,17.0,+4,2017-11-29
12,Klay Thompson,GSW,38:42,6,12,.500,4,8,.500,4,4,1.000,0,3,3,2,1,0,0,1,20,16.9,+4,2017-11-29
13,Draymond Green,GSW,38:20,5,10,.500,1,3,.333,4,6,.667,4,7,11,9,4,0,4,2,15,19.6,-2,2017-11-29
14,Zaza Pachulia,GSW,14:11,5,5,1.000,0,0,,1,1,1.000,2,4,6,2,1,0,1,2,11,12.7,+11,2017-11-29
15,Andre Iguodala,GSW,34:49,1,4,.250,0,1,.000,0,0,,2,4,6,3,0,1,0,2,2,4.2,-5,2017-11-29
16,Nick Young,GSW,13:53,3,5,.600,1,2,.500,2,3,.667,1,1,2,0,0,0,1,0,9,6.3,+4,2017-11-29
17,Kevon Looney,GSW,12:54,1,6,.167,0,0,,0,0,,2,2,4,0,0,1,0,0,2,0.9,-3,2017-11-29
18,Jordan Bell,GSW,12:23,3,4,.750,0,0,,0,0,,1,3,4,0,2,1,3,1,6,5.3,+5,2017-11-29
19,Shaun Livingston,GSW,9:40,2,2,1.000,0,0,,1,2,.500,0,1,1,0,1,0,2,2,5,2.5,-4,2017-11-29
20,Patrick McCaw,GSW,8:25,0,1,.000,0,0,,0,0,,0,0,0,2,0,0,0,1,0,0.3,-2,2017-11-29
0,Jimmy Butler,MIA,46:40,5,21,.238,2,4,.500,12,14,.857,7,4,11,8,1,0,2,3,24,20.0,0,2023-05-27
1,Bam Adebayo,MIA,45:39,4,16,.250,0,0,,3,4,.750,7,6,13,5,1,1,0,0,11,12.9,+6,2023-05-27
2,Gabe Vincent,MIA,41:17,6,18,.333,3,6,.500,0,0,,1,3,4,0,0,1,1,5,15,4.1,-2,2023-05-27
3,Caleb Martin,MIA,40:33,7,13,.538,4,8,.500,3,4,.750,1,14,15,1,1,1,1,5,21,18.6,+1,2023-05-27
4,Max Strus,MIA,25:17,3,8,.375,2,5,.400,2,3,.667,0,1,1,3,0,0,0,2,10,6.8,-12,2023-05-27
5,Duncan Robinson,MIA,20:08,5,11,.455,3,6,.500,0,0,,0,1,1,2,0,0,0,5,13,7.0,+8,2023-05-27
6,Kyle Lowry,MIA,18:05,3,6,.500,0,1,.000,2,2,1.000,1,1,2,3,2,1,1,3,8,8.6,+1,2023-05-27
