,player,season,season_type,age,team_id,lg_id,pos,g,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,DUMMY,trp_dbl
0,Dwayne Wade,2003-04,playoff,22,MIA,NBA,PG,13,13,510,86,189,.455,3,8,.375,83,181,.459,.463,59,75,.787,16,36,52,73,17,4,54,45,234,,
1,Dwayne Wade,2004-05,playoff,23,MIA,NBA,SG,14,14,571,136,281,.484,1,10,.100,135,271,.498,.486,111,139,.799,23,57,80,93,22,16,62,43,384,,
2,Dwayne Wade,2005-06,playoff,24,MIA,NBA,SG,23,23,959,219,441,.497,14,37,.378,205,404,.507,.512,202,250,.808,28,107,135,132,51,26,90,71,654,,
3,Dwayne Wade,2006-07,playoff,25,MIA,NBA,SG,4,4,162,36,84,.429,0,5,.000,36,79,.456,.429,22,32,.688,7,12,19,25,5,2,23,13,94,,
4,Dwayne Wade,2008-09,playoff,27,MIA,NBA,SG,7,7,285,68,155,.439,18,50,.360,50,105,.476,.497,50,58,.862,4,31,35,37,6,11,25,20,204,,
5,Dwayne Wade,2009-10,playoff,28,MIA,NBA,SG,5,5,210,62,110,.564,15,37,.405,47,73,.644,.632,27,40,.675,6,22,28,34,8,8,26,16,166,,
6,Dwayne Wade,2010-11,playoff,29,MIA,NBA,SG,21,21,828,181,373,.485,14,52,.269,167,321,.520,.504,139,179,.777,43,107,150,92,34,28,64,53,515,,
7,Dwayne Wade,2011-12,playoff,30,MIA,NBA,SG,23,23,907,197,426,.462,10,34,.294,187,392,.477,.474,121,166,.729,32,88,120,100,39,30,68,65,525,,
8,Dwayne Wade,2012-13,playoff,31,MIA,NBA,SG,22,22,782,144,315,.457,1,4,.250,143,311,.460,.459,60,80,.750,38,64,102,105,38,23,58,45,349,,
9,Dwayne Wade,2013-14,playoff,32,MIA,NBA,SG,20,20,693,139,278,.500,9,24,.375,130,254,.512,.516,69,90,.767,16,61,77,77,30,5,54,55,356,,
10,Dwayne Wade,2015-16,playoff,34,MIA,NBA,SG,14,14,473,119,254,.469,12,23,.522,107,231,.463,.492,50,64,.781,12,67,79,60,11,13,38,22,300,,
11,Dwayne Wade,2016-17,playoff,35,CHI,NBA,SG,6,6,190,32,86,.372,6,17,.353,26,69,.377,.407,20,21,.952,6,24,30,24,5,8,10,8,90,,
12,Dwayne Wade,2017-18,playoff,36,MIA,NBA,SG,5,0,127,31,70,.443,0,4,.000,31,66,.470,.443,21,26,.808,3,18,21,18,7,1,11,11,83,,
13,Dwayne Wade,2003-04,regular,22,MIA,NBA,PG,61,56,2126,371,798,.465,16,53,.302,355,745,.477,.475,233,312,.747,85,162,247,275,86,34,196,140,991,,0
14,Dwayne Wade,2004-05,regular,23,MIA,NBA,SG,77,77,2974,630,1318,.478,13,45,.289,617,1273,.485,.483,581,762,.762,110,287,397,520,121,82,321,230,1854,,1
15,Dwayne Wade,2005-06,regular,24,MIA,NBA,SG,75,75,2892,699,1413,.495,13,76,.171,686,1337,.513,.499,629,803,.783,107,323,430,503,146,58,268,217,2040,,2
16,Dwayne Wade,2006-07,regular,25,MIA,NBA,SG,51,50,1931,472,962,.491,21,79,.266,451,883,.511,.502,432,535,.807,51,188,239,384,107,62,216,117,1397,,0
17,Dwayne Wade,2007-08,regular,26,MIA,NBA,SG,51,49,1954,439,937,.469,22,77,.286,417,860,.485,.480,354,467,.758,45,169,214,354,87,37,224,137,1254,,0
18,Dwayne Wade,2008-09,regular,27,MIA,NBA,SG,79,79,3048,854,1739,.491,88,278,.317,766,1461,.524,.516,590,771,.765,89,309,398,589,173,106,272,178,2386,,0
19,Dwayne Wade,2009-10,regular,28,MIA,NBA,SG,77,77,2792,719,1511,.476,73,243,.300,646,1268,.509,.500,534,702,.761,107,266,373,501,142,82,252,181,2045,,0
20,Dwayne Wade,2010-11,regular,29,MIA,NBA,SG,76,76,2823,692,1384,.500,63,206,.306,629,1178,.534,.523,494,652,.758,123,362,485,346,111,87,237,197,1941,,1
21,Dwayne Wade,2011-12,regular,30,MIA,NBA,SG,49,49,1625,416,837,.497,15,56,.268,401,781,.513,.506,235,297,.791,73,164,237,225,82,63,129,110,1082,,0
22,Dwayne Wade,2012-13,regular,31,MIA,NBA,SG,69,69,2391,569,1093,.521,17,66,.258,552,1027,.537,.528,308,425,.725,86,258,344,352,128,56,194,140,1463,,0
23,Dwayne Wade,2013-14,regular,32,MIA,NBA,SG,54,53,1775,415,761,.545,9,32,.281,406,729,.557,.551,189,258,.733,60,181,241,252,79,29,161,106,1028,,0
24,Dwayne Wade,2014-15,regular,33,MIA,NBA,SG,62,62,1971,509,1084,.470,29,102,.284,480,982,.489,.483,284,370,.768,58,161,219,299,73,21,209,105,1331,,0
25,Dwayne Wade,2015-16,regular,34,MIA,NBA,SG,74,73,2258,540,1183,.456,7,44,.159,533,1139,.468,.459,322,406,.793,82,220,302,344,79,42,203,116,1409,,0
26,Dwayne Wade,2016-17,regular,35,CHI,NBA,SG,60,59,1792,414,955,.434,45,145,.310,369,810,.456,.457,223,281,.794,63,207,270,228,86,41,138,112,1096,,0
27,Dwayne Wade,2017-18,regular,36,TOT,NBA,SG,67,3,1536,299,682,.438,32,111,.288,267,571,.468,.462,135,189,.714,50,202,252,228,61,47,140,124,765,,0
28,Dwayne Wade,2017-18,regular,36,CLE,NBA,SG,46,3,1069,198,435,.455,23,70,.329,175,365,.479,.482,94,134,.701,39,142,181,163,42,32,92,84,513,,0
29,Dwayne Wade,2017-18,regular,36,MIA,NBA,SG,21,0,467,101,247,.409,9,41,.220,92,206,.447,.427,41,55,.745,11,60,71,65,19,15,48,40,252,,0
30,Dwayne Wade,2018-19,regular,37,MIA,NBA,SG,72,2,1885,416,960,.433,86,261,.330,330,699,.472,.478,165,233,.708,69,216,285,301,59,38,166,118,1083,,1
31,Kobe Bryant,1996-97,playoff,18,LAL,NBA,SF,9,0,133,21,55,.382,6,23,.261,15,32,.469,.436,26,30,.867,1,10,11,11,3,2,14,23,74,,
32,Kobe Bryant,1997-98,playoff,19,LAL,NBA,SF,11,0,220,31,76,.408,3,14,.214,28,62,.452,.428,31,45,.689,7,14,21,16,3,8,11,28,96,,
33,Kobe Bryant,1998-99,playoff,20,LAL,NBA,SG,8,8,315,61,142,.430,8,23,.348,53,119,.445,.458,28,35,.800,13,42,55,37,15,10,31,24,158,,
34,Kobe Bryant,1999-00,playoff,21,LAL,NBA,SG,22,22,857,174,394,.442,22,64,.344,152,330,.461,.470,95,126,.754,26,72,98,97,32,32,55,89,465,,
35,Kobe Bryant,2000-01,playoff,22,LAL,NBA,SG,16,16,694,168,358,.469,11,34,.324,157,324,.485,.485,124,151,.821,29,87,116,97,25,12,51,53,471,,
36,Kobe Bryant,2001-02,playoff,23,LAL,NBA,SG,19,19,833,187,431,.434,22,58,.379,165,373,.442,.459,110,145,.759,28,83,111,87,27,17,54,65,506,,
37,Kobe Bryant,2002-03,playoff,24,LAL,NBA,SG,12,12,531,137,317,.432,25,62,.403,112,255,.439,.472,86,104,.827,16,45,61,62,14,1,42,35,385,,
38,Kobe Bryant,2003-04,playoff,25,LAL,NBA,SG,22,22,973,190,460,.413,24,97,.247,166,363,.457,.439,135,166,.813,18,86,104,121,42,7,61,59,539,,
